month;year;kwp_1_10;kwp_11_30;kwp_31_40;kwp_40_up;
04;2000;50.62;50.62;50.62;50.62;
05;2000;50.62;50.62;50.62;50.62;
06;2000;50.62;50.62;50.62;50.62;
07;2000;50.62;50.62;50.62;50.62;
08;2000;50.62;50.62;50.62;50.62;
09;2000;50.62;50.62;50.62;50.62;
10;2000;50.62;50.62;50.62;50.62;
11;2000;50.62;50.62;50.62;50.62;
12;2000;50.62;50.62;50.62;50.62;
01;2001;50.62;50.62;50.62;50.62;
02;2001;50.62;50.62;50.62;50.62;
03;2001;50.62;50.62;50.62;50.62;
04;2001;50.62;50.62;50.62;50.62;
05;2001;50.62;50.62;50.62;50.62;
06;2001;50.62;50.62;50.62;50.62;
07;2001;50.62;50.62;50.62;50.62;
08;2001;50.62;50.62;50.62;50.62;
09;2001;50.62;50.62;50.62;50.62;
10;2001;50.62;50.62;50.62;50.62;
11;2001;50.62;50.62;50.62;50.62;
12;2001;50.62;50.62;50.62;50.62;
01;2002;48.10;48.10;48.10;48.10;
02;2002;48.10;48.10;48.10;48.10;
03;2002;48.10;48.10;48.10;48.10;
04;2002;48.10;48.10;48.10;48.10;
05;2002;48.10;48.10;48.10;48.10;
06;2002;48.10;48.10;48.10;48.10;
07;2002;48.10;48.10;48.10;48.10;
08;2002;48.10;48.10;48.10;48.10;
09;2002;48.10;48.10;48.10;48.10;
10;2002;48.10;48.10;48.10;48.10;
11;2002;48.10;48.10;48.10;48.10;
12;2002;48.10;48.10;48.10;48.10;
01;2003;45.70;45.70;45.70;45.70;
02;2003;45.70;45.70;45.70;45.70;
03;2003;45.70;45.70;45.70;45.70;
04;2003;45.70;45.70;45.70;45.70;
05;2003;45.70;45.70;45.70;45.70;
06;2003;45.70;45.70;45.70;45.70;
07;2003;45.70;45.70;45.70;45.70;
08;2003;45.70;45.70;45.70;45.70;
09;2003;45.70;45.70;45.70;45.70;
10;2003;45.70;45.70;45.70;45.70;
11;2003;45.70;45.70;45.70;45.70;
12;2003;45.70;45.70;45.70;45.70;
01;2004;57.40;57.40;54.60;54.60;
02;2004;57.40;57.40;54.60;54.60;
